2.104,399.900
1.600,329.900
2.400,369.000
1.416,232.000
3.000,539.900
1.985,299.900
1.534,314.900
1.427,198.999
1.380,212.000
1.494,242.500
1.940,239.999
2.000,347.000
1.890,329.999
4.478,699.900
1.268,259.900
2.300,449.900
1.320,299.900
1.236,199.900
2.609,499.998
3.031,599.000
1.767,252.900
1.888,255.000
1.604,242.900
1.962,259.900
3.890,573.900
1.100,249.900
1.458,464.500
2.526,469.000
2.200,475.000
2.637,299.900
1.839,349.900
1.000,169.900
2.040,314.900
3.137,579.900
1.811,285.900
1.437,249.900
1.239,229.900
2.132,345.000
4.215,549.000
2.162,287.000
1.664,368.500
2.238,329.900
2.567,314.000
1.200,299.000
0.852,179.900
1.852,299.900
1.203,239.500
